pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,closed_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message
3794,1,4,0,Externals,AnthonyDGreen,2017-08-24 22:50:05,1,1,1,0,The maintainer of the current grammar no longer wishes to maintain it so I'd like to host the submodule instead.
3788,1,3,0,Externals,mathewmariani,2017-08-22 03:40:15,0,0,0,0,https://github.com/search?utf8=%E2%9C%93&q=extension%3Anut+NOT+nothack&type=Code
3786,2,6,0,Externals,greysteil,2017-08-19 16:33:36,0,0,0,0,"Updates requirements on [escape_utils](https://github.com/brianmario/escape_utils) to permit the latest version.

Generated on my fork using [Dependabot](https://dependabot.com), if you want to automate this stuff for the future."
3779,4,7,0,Internals,lildude,2017-08-16 14:30:20,15,48,8,0,"In an attempt to stop having to continue using an outdated and old release of the language-babel grammar, which we're not even attempting to keep in sync, this PR proposes switching out our outdated github-linguist/language-babel in favour of Facebook's [recommended grammar for Sublime](https://github.com/facebook/react/wiki/Complementary-Tools#editor-integration) babel/babel-sublime.

Limited testing suggest this solves the recently identified problems and the reason for the old grammar (see https://github.com/github/linguist/issues/3775#issuecomment-322459597) but the only thing I'm not sure about is testing picks up a duplicate for the scope:

```
WARN: Duplicated scope source.js
  Current package: vendor/grammars/language-javascript
  Previous package: vendor/grammars/babel-sublime
```

Whilst both do indeed use the `source.js` scope, `convert-grammars` only pulls in this scope for the babel-sublime grammar now.

Is this going to cause us a problem @Alhadis or @pchaigno?

This PR also does a little tidying up thanks to the `script/add-grammar` pulling other scripts which found two missing references in the `vendor/README.md` file and also an old license.

This should fix https://github.com/github/linguist/issues/3775"
3768,49,1,0,Externals,fourjs-sse,2017-08-11 14:13:50,20475,1211,248,0,"Hi,

Could you please add Genero/BDL language to your project ?
For more details about our company, please see http://4js.com/

Here the patches for languages.yml and HelloWorld sample.
[BDL-sample.zip](https://github.com/github/linguist/files/1218096/BDL-sample.zip)

Thanks in advance.
Best regards,
Sisa."
3762,2,4,0,Externals,fdodino,2017-08-08 14:54:49,0,0,0,0,"Hi, @pchaigno, related to PR #2678 , I did a new PR to add just .wlk files (next year I will try to add .wtest too as usage grows).

Wollok is an educational OO language: http://www.wollok.org/en/
It is used in several matters of different universities: UTN Buenos Aires (thttp://pdep.com.ar), UTN Delta, UNSAM (www.unsam.edu.ar), UNQ (www.unq.edu.ar)

This year we are moving to github classroom instead of SVN, so visibility will increase.

Many thanks!
Have a nice week!
Fernando

"
3755,3,9,5,Externals,frangio,2017-08-04 16:51:57,280,0,3,0,"After the discussion in #3560 and following @pchaigno's suggestion in #3559, this PR adds the Solidity language, together with two sample files, but without associating an extension to it.

To sum things up, the associated `.sol` extension is shared by files on GitHub that don't correspond to a language, and it's impossible for a linguist heuristic to return that as a result. This is referred to as the `not-a-language` feature, which is apparently non-trivial to implement. In the meantine, we've agreed on adding the language without an extension, so that repositories can at least use `.gitattributes` overrides to get syntax highlighting.

Here's [a Github search](https://github.com/search?utf8=%E2%9C%93&q=pragma+solidity&type=Code) for the language with more than 25000 results.

One of the sample files is taken [from OpenZeppelin](https://github.com/OpenZeppelin/zeppelin-solidity/blob/master/contracts/crowdsale/RefundVault.sol), which is MIT licensed. The other one was written by @veox specifically to demonstrate the language syntax, and is BSD licensed."
3748,1,5,0,Externals,smola,2017-07-31 12:19:38,5,1,2,0,"`\w` captures only ASCII letters and numbers. Changed to [[:alnum:]]
to capture any Unicode letter and digit. This makes the tokenizer
work properly on non-English based langiages (e.g. 1C Enterprise)."
3740,1,1,0,Externals,goodmind,2017-07-26 16:26:59,1,1,1,0,"I looked at Protobuf and it has `type: markup` but initially I thought that this type should be used for HTML-like languages only and not RPC languages like Protobuf.

(markup type is very misleading at first)"
3736,1,1,0,Externals,quasisamurai,2017-07-25 16:11:30,1,0,1,0,"Usually, solidity files has a '.solidity' extension. But me and over the 70% blockchain programmers using Solidity as main smart contracts langugage use '.sol' extension as well. So this string allow toh ighlite a .sol files. Cheers :)"
3715,4,3,0,Externals,trijezdci,2017-07-08 03:33:13,55,0,3,0,"Modula-2 libraries consist of a definition module (file extension .def) and an implementation module (file extension .mod). This is comparable to .h and .c files in C and C++. Linguist not recognising .def, but .mod alone for Modula-2 would be like not recognising .c for C and C++. This patch adds (1) an entry to recognise "".def"" as Modula-2 to languages.yml and (2) a def/mod sample file pair in the samples/modula-2 directory."
3687,2,1,2,Externals,tkgogogo,2017-06-19 11:46:06,1,0,1,0,ㄴㅇ
3676,1,3,0,Externals,anteriovieira,2017-06-13 14:40:03,2,4,1,0,
3667,2,4,0,Externals,JoshuaWise,2017-06-06 15:42:13,1,0,1,0,Files ending in `.lzz` are used by [lazycplusplus](http://www.lazycplusplus.com/index.html) to generate header files for you while developing in C++.
3647,1,2,0,Externals,MaickelHubner,2017-05-25 18:21:16,0,0,0,0,
3646,1,0,0,Externals,MaickelHubner,2017-05-25 18:12:28,0,0,0,0,
3645,1,0,0,Externals,MaickelHubner,2017-05-25 17:58:14,0,0,0,0,
3644,1,0,0,Externals,MaickelHubner,2017-05-25 17:54:13,0,0,0,0,
3638,1,8,0,Externals,simongarland,2017-05-24 09:13:32,275,0,7,0,"for a collection of kdb repositories see:

http://kxsystems.github.io

http://code.kx.com/q/github/

sample search for in the wild repositories:

user:AquaQAnalytics extension:q

user:psaris extension:q

the colour choice is used on kx.com and code.kx.com, we've used it or a similar dark blue since the early '90's.

"
3636,1,0,0,Externals,jonathan-fugue,2017-05-23 00:02:52,0,0,0,0,wont merge
3571,2,5,0,Externals,MarcianoPreciado,2017-04-15 03:09:46,0,0,0,0,Correct Arduino's color to it's signature blue; Swap Arduino's old purple color to MAXScript whose color is too close. Arduino is a much more commonly used programming language than MAXScript so the color will be correct more of the time.
3570,1,0,0,Externals,MarcianoPreciado,2017-04-15 02:56:58,0,0,0,0,Match Arduino's color to its signature blue.
3560,9,15,3,Externals,veox,2017-04-10 15:57:08,558,31,12,0,"### Summary

* Conflicts with PR #3559.
* Adds [Solidity](https://en.wikipedia.org/wiki/Solidity) as a language ([search result](https://github.com/search?utf8=%E2%9C%93&q=extension%3Asol+%22pragma+solidity%22&type=Code)).
* Changes current vendor of `source.solidity` grammar from [davidhq/SublimeEthereum](https://github.com/davidhq/SublimeEthereum) to [caktux/language-ethereum](https://github.com/caktux/language-ethereum). The latter includes work on the former, and provides a few more grammar files. Language detection for those can be more easily integrated later on, if needed.
* Includes a simple heuristic to differentiate between Eagle soldermask `.sol` files and Solidity, and a test for that. The new Eagle samples are from [storborg/regerberate](https://github.com/storborg/regerberate), which is [MIT-licensed](https://github.com/storborg/regerberate/tree/ed85bb545109950946af90118b058abf9b0bcd3b/samples/eagle).
* Provides an example file written by your truly for [pygments](https://bitbucket.org/veox/pygments-main/src/95ac90c00cc6448404d751bf878cfb116b70cd1c/tests/examplefiles/example.sol?fileviewer=file-view-default), which has a BSD license ([Lightshow highlight](https://github-lightshow.herokuapp.com/?utf8=%E2%9C%93&scope=from-url&grammar_url=https%3A%2F%2Fgithub.com%2Fcaktux%2Flanguage-ethereum%2Fblob%2Fmaster%2Fgrammars%2Fsolidity.cson&grammar_text=&code_source=from-url&code_url=https%3A%2F%2Fgithub.com%2Fveox%2Flinguist%2Fblob%2F894bae2d7bfe80165aa69f6da2004ff8f94ed396%2Fsamples%2FSolidity%2Fpygments-example.sol&code=)).
* In general, makes sure no GPLv3 code makes it into github/linguist, including git history.
* Attempts to follow [contributing guidelines](https://github.com/github/linguist/blob/master/CONTRIBUTING.md#adding-a-language).

### Previous attempts

[Sorted chronologically](https://github.com/github/linguist/pulls?q=is%3Apr+solidity+sort%3Acreated-asc):

* PR #2634 - closed as stale, due to possible mis-classification of many non-Solidity files with `.sol` extension;
* PR #3161 - merged manually, proposed [davidhq/SublimeEthereum](https://github.com/davidhq/SublimeEthereum) as `grammar` vendor;
* PR #3522 - closed as unheeding to discussion in PR #2634;
* PR #3559 - currently open, proposes using `.gitattributes` as discussed in PR #2634 and builds directly on top of that (rather old HEAD), resulting in merge conflicts. [Includes example that's licensed under GPLv3](https://github.com/github/linguist/pull/3559#issuecomment-292938301), to the best of my knowledge.

### Outstanding issues

- [x] `TestGrammars` complains that the license for the [caktux/language-ethereum](https://github.com/caktux/language-ethereum) vendor needs to be ""whitelisted"". It is unclear to me whether this action must be performed by a github/linguist maintainer, or can be done by me. The [LICENSE.md](https://github.com/caktux/language-ethereum/blob/master/LICENSE.md) has a non-standard note on inclusion of prior work from [davidhq/SublimeEthereum](https://github.com/davidhq/SublimeEthereum).
- [ ] CI fails due to this (see [relevant build log](https://travis-ci.org/github/linguist/jobs/226368502#L1153)).
- [ ] `master` has drifted since PR opening - will rebase when the above is clarified.
- [x] Heuristic may still mis-classify many files (see [next comment](https://github.com/github/linguist/pull/3560#issuecomment-293001855), or issue #3589).
- [x] Heuristics test ~~missing~~ added.
- [x] A way of indicating `not-a-language` detection ~~is~~ was proposed, but moved to https://github.com/github/linguist/issues/3589#issuecomment-298168908 due to its hackish nature."
3559,4,7,0,Externals,frangio,2017-04-09 21:48:42,237,0,8,0,"As discussed in #2634 we can't associate the `.sol` extension with Solidity until the `not-a-language` feature is implemented.

Meanwhile, though, the language should be included in Linguist so that repositories can manually set the language via `.gitattributes`."
3553,26,0,0,Externals,Szmyk,2017-04-05 15:42:50,0,0,0,0,"**[Gothic](https://en.wikipedia.org/wiki/Gothic_(video_game))** is an RPG game made by [Piranha Bytes](https://en.wikipedia.org/wiki/Piranha_Bytes).

Developers from Piranha Bytes created mod kits about 15 years ago. 

PR includes support of modding files:

- "".d"" and "".src"" - Daedalus (script language)
- "".asc"" and "".mds"" - animations
- "".zen"" - worlds (scenes)

At this moment some of modders are working on very big projects hosted on GitHub and need to have lang support (now eg. "".d"" files are listed as a D, DTrace or Makefile lang).
"
3552,2,1,0,Externals,hv15,2017-04-04 12:59:55,289,0,2,0,"Hi there,

I'd like to have SAC programming language added to linguist.

There are a few examples of it in the [wild](https://github.com/search?l=&q=extension%3Asac+reshape+OR+with+OR+genarray&ref=advsearch&type=Code&utf8=%E2%9C%93).

Is there anything else I need to provide?

Thanks!"
3549,1,1,0,Externals,tberman,2017-04-02 03:05:56,1,1,1,0,
3546,1,15,0,Externals,smola,2017-03-29 15:30:30,0,8,1,0,"There were two disambiguations for .t files. The first one
did only disambiguate between Perl and Perl6. The second one
disambiguated Turing and Perl6, but it was being ignored since
it was repeated.

Turing files were still being correctly classified since they fell
back to the classifier strategy though. This change removes the
unused heuristic."
3544,1,1,0,Externals,MaickelHubner,2017-03-28 09:20:11,0,0,0,0,"Add a obrigatory text ""&ANALYZE-SUSPEND _UIB-CODE-BLOCK _CUSTOM _DEFINITIONS C-Win"" that indicates a OpenEdge .w file and differentiate of C files."
3542,4,2,2,Externals,multiprecision,2017-03-28 00:59:33,0,0,0,0,"1. Add comp, tesc, and tese as GLSL file extensions, as per Glslang.
`.comp` for a compute shader
`.tesc` for a tessellation control shader
`.tese` for a tessellation evaluation shader
See https://github.com/KhronosGroup/glslang
2. Sort the GLSL file extensions in alphabetical order.
3. Add GLSL compute shader sample."
3531,1,1,0,Externals,waikarnilesh,2017-03-21 10:40:26,1,0,1,0,
3529,1,1,0,Externals,Wetitpig,2017-03-21 08:55:59,0,0,0,0,Should be ok.
3527,1,1,0,Externals,javierhonduco,2017-03-20 19:37:06,0,0,0,0,"oops, sorry, wrong repo!"
3526,1,1,0,Externals,waikarnilesh,2017-03-20 16:33:09,1,0,1,0,
3522,1,0,0,Externals,LogvinovLeon,2017-03-17 17:32:50,152,0,2,0,"This adds support for [Solidity](https://solidity.readthedocs.io/en/develop/) syntax highlighting and code detection to GitHub linguist.
The language is widely used in the wild, as seen in the following [GitHub search](https://github.com/search?utf8=%E2%9C%93&q=extension%3Asol+contract&type=Code&ref=searchresults).

Thank you in advance for your consideration."
3521,2,2,0,Externals,Wetitpig,2017-03-17 14:54:14,0,0,0,0,"The repository with misclassified files: https://github.com/Wetitpig/osmctools

All the files in the repository are created by breaking a large c file into several small c files. However, after breaking, linguist show c++ as the language for three of those files, which doesn't make sense at all.

Can anyone suggest how to improve linguist by detecting c and c++ more accurately?"
3514,14,31,3,Externals,MaickelHubner,2017-03-13 14:04:55,0,0,0,0,"Associate files of type window (with extension .w) to the language OpenEdge ABL

https://github.com/search?utf8=✓&q=extension%3Aw+%26ANALYZE-SUSPEND+_UIB-CODE-BLOCK+_CUSTOM+_DEFINITIONS+C-Win&type=Code&ref=searchresults"
3501,1,2,0,Externals,TakeshiTseng,2017-03-03 21:11:20,1,1,1,0,
3494,1,2,0,Externals,tgjones,2017-02-23 20:46:18,1,1,1,0,"Found while preparing #3490.

This change means that the test does now find some ambiguous languages, and tests that the relevant samples resolve to the correct language, but it fails with this assertion:

```
  1) Failure:
TestClassifier#test_classify_ambiguous_languages [/Users/timjones/Code/github/linguist/test/test_classifier.rb:53]:
/Users/timjones/Code/github/linguist/samples/Makefile/filenames/Makefile.frag
[[""JavaScript"", -3411.2346496412188], [""GLSL"", -3498.798416469136]].
Expected: ""Makefile""
  Actual: ""JavaScript""
```

Presumably this is because there are some filename overrides, including for `Makefile`, that aren't picked up if we use `Language.find_by_extension`. Any suggestions for fixing this?"
3481,1,2,0,Externals,mkdynamic,2017-02-17 23:32:07,1,1,1,0,
3468,3,3,0,Internals,lildude,2017-02-11 15:58:56,0,0,0,0,"We've found a few large rich text format (rtf) files are causing timeouts with almost all of the time being spent in linguist:

```
Seconds |   Count | Name
 19.694 |       9 | linguist.strategy
 19.691 |       1 | linguist.detection
[... redacted ...]
  0.000 |       1 | linguist.detected
```

... specifically attempting to unnecessarily tokenise the file:

```
/data/github/870366e/vendor/gems/2.1.7/ruby/2.1.0/gems/github-linguist-4.8.12/lib/linguist/tokenizer.rb:91:in `extract_tokens'
/data/github/870366e/vendor/gems/2.1.7/ruby/2.1.0/gems/github-linguist-4.8.12/lib/linguist/tokenizer.rb:16:in `tokenize'
/data/github/870366e/vendor/gems/2.1.7/ruby/2.1.0/gems/github-linguist-4.8.12/lib/linguist/classifier.rb:99:in `classify'
/data/github/870366e/vendor/gems/2.1.7/ruby/2.1.0/gems/github-linguist-4.8.12/lib/linguist/classifier.rb:78:in `classify'
/data/github/870366e/vendor/gems/2.1.7/ruby/2.1.0/gems/github-linguist-4.8.12/lib/linguist/classifier.rb:20:in `call'
/data/github/870366e/vendor/gems/2.1.7/ruby/2.1.0/gems/github-linguist-4.8.12/lib/linguist.rb:30:in `block (3 levels) in detect'
```

The `samples/RTF/complicated.rtf` file in this PR is an example of such a file.

This is taken from GitHub Enterprise, hence the slightly old version, but github.com exhibits the problem too as you'll be able to see if you attempt to [view the file](https://github.com/lildude/linguist/blob/60253b026b97c0088dd5816e1b518abc33b84324/samples/RTF/complicated.rtf) in this PR.

This PR addresses this problem by explicitly adding support for RTF files and marking them as data so no attempts are made to tokenise the files when rendering.

As for usage: only [434,582 results](https://github.com/search?utf8=%E2%9C%93&q=extension%3Artf+NOT+nothack&type=Code&ref=searchresults) for `.rtf` 😜

I know I'm technically a maintainer of linguist, but this is my first PR for it, so go easy on me 😉"
3453,1,3,0,Externals,larsbrinkhoff,2017-02-03 06:21:15,0,0,0,0,"With this fix in place, all but two files in #3451 are properly detected as Markdown."
3431,4,2,0,Externals,sunderls,2017-01-20 06:09:20,20,0,3,0,https://github.com/github/linguist/issues/3430
3422,2,4,0,Externals,ifarbod,2017-01-09 13:13:53,88,0,2,0,"From http://angelcode.com/angelscript:

>The AngelCode Scripting Library, or AngelScript as it is also known, is an extremely flexible cross-platform scripting library designed to allow applications to extend their functionality through external scripts. It has been designed from the beginning to be an easy to use component, both for the application programmer and the script writer.
For the script writer the scripting language follows the widely known syntax of C/C++, but without the need to worry about pointers and memory leaks. Contrary to most scripting languages, AngelScript uses the common C/C++ datatypes for more efficient communication with the host application.

The selected color is also from the same website.

It's basically a C/C++-like language, so I guess there's no need for a custom grammar.
[Here](https://github.com/search?utf8=%E2%9C%93&q=extension%3Aangelscript+NOT+nothack&type=Code&ref=searchresults)'s a search result with some angelscript files.
"
3415,5,4,17,Externals,asolove,2017-01-03 21:23:33,183,0,10,0,"[MiniZinc](http://www.minizinc.org) is a constraint modeling language used as a high-level _lingua franca_ for different constraint, linear, and mixed integer programming solvers. There are [at least 15,000 MiniZinc files](https://github.com/search?utf8=✓&q=extension%3Amzn+constraint&type=Code&ref=searchresults) already on Github. The language is growing rapidly and is now the subject of several MOOCs that are beginning soon.

This PR adds the language and grammar definitions for MiniZinc as well as two sample files that illustrate a small bit of its usage."
3403,1,1,0,Externals,davidaylaian,2016-12-24 22:38:28,0,0,0,0,This file was incorrectly being displayed as C++ when it is actually written in C.
3398,1,9,0,Externals,simongarland,2016-12-20 15:44:29,0,0,0,0,"sample search for in the wild repositories:
user:AquaQAnalytics extension:q

more examples see:
http://kxsystems.github.io/"
3397,1,1,0,Externals,simongarland,2016-12-20 15:44:08,0,0,0,0,example source file for language q
3386,1,1,0,Externals,simongarland,2016-12-14 14:01:40,0,0,0,0,"add definitions for languages k and q, fix travis complaints 
(lowercase is common usage)
sample k and q code in sample/k and sample/q 
existing repositories see kxsystems.github.io 

manually added language_ids 422 and 423 (next two free) as the set-.. script crashes for me"
3385,1,1,0,Externals,simongarland,2016-12-14 13:58:00,0,0,0,0,sample k code
3384,1,1,0,Externals,simongarland,2016-12-14 13:14:59,0,0,0,0,sample q code
3383,1,3,0,Externals,simongarland,2016-12-14 12:39:05,0,0,0,0,add definitions for languages k an q
3372,1,2,0,Externals,yutannihilation,2016-12-08 14:53:21,2,2,1,0,"I got the error bellow when try to generate R document from this sample file: https://github.com/github/linguist/blob/master/samples/R/import.r#L195-L196

```r
@TODO [hello.R#196]: unknown tag 
```

In R, lines that starts with `#'` are for [roxygen2](https://cran.r-project.org/web/packages/roxygen2/index.html). So we should use `#` for usual code comments."
3364,2,9,0,Externals,SumeetSinha,2016-12-06 12:03:50,337,1,14,0,"…gmESSI (Translator from gmsh to ESSI files), and Real-ESSI (University of California Davis Finite Element Program )"
3357,1,6,0,Externals,arkwrn,2016-12-01 19:44:50,2,2,2,0,"fix the little flaws found on http protocol that is used,
one of the web using the http protocol which is already supporting more secure protocol,
which is https"
3340,1,3,0,Externals,kkodev,2016-11-22 16:33:16,15,1,2,0,"There are reasons why people need to keep these in the repo, so at least lets treat these files as binary."
3339,1,2,0,Externals,Alhadis,2016-11-22 04:11:23,1,1,1,0,"This wasn't added correctly in 43fa563. In fact, it causes the running session to hang, since it's making a call to `/usr/bin/script`. To quote `script`'s manpage:

>  The **script** utility makes a typescript of everything printed on your terminal.  It is useful for students who need a hardcopy record of an interactive session as proof of an assignment, as the typescript file can be printed out later with lpr(1).
>
> If the argument `file` is given, script saves all dialogue in `file`. If no file name is given, the typescript is saved in the file `typescript`.

What makes this truly nasty is the running process can't be killed in the usual manner, since it's directing SIGTERM to the session's transcript. I had to force-quit using Finder."
3335,1,3,0,Externals,arkwrn,2016-11-18 20:28:42,0,0,0,0,"fix the little flaws found on http protocol that is used, one of the web using the http protocol which is already supporting more secure protocol, which is https"
3332,1,2,0,Externals,jlongster,2016-11-17 14:45:40,1,0,1,0,"Reason is a new variant of OCaml. For now, we can just highlight it as OCaml code. In the future we may have better support for more specific features."
3328,1,2,0,Externals,askreet,2016-11-14 19:03:39,3,1,1,0,"The top of a Thrift-generated class file starts with:

```
<?php
 namespace Foo\Bar\Thrift\MyClass;
 /**
  * Autogenerated by Thrift Compiler (0.9.3)
```
"
3320,1,5,0,Externals,ghost,2016-11-07 11:08:56,0,0,0,0,"Exclude GoLang ""_examples"" directory from language statistics.

At Go Programming Language we mostly put our examples in the `_examples` directory, because `_` is Excluded from `go build` tool which provides us the binary, executable program file.

For example if someone develop a template parser in Go and the project has `_examples/` directory with tons of html examples, then the project will act as `HTML` project and not `Go`"
3306,1,12,0,Externals,jtbandes,2016-10-29 07:30:29,1,1,1,0,"In the recently updated Swift grammar, we used `\h` for hexadecimal digits, which isn't supported by GitHub's highlighter.
"
3287,1,2,0,Externals,lierdakil,2016-10-22 05:35:36,1,1,1,0,"A couple annoying bugs fixed upstream, so I figured I should update here as well.
"
3285,2,3,0,Externals,pkrog,2016-10-18 07:00:51,42,0,4,0,"Exclude 'test' dans 'tests' directories from language statistics. Add the possibilities to flag files or directories as test inside the .gitattributes file.

I've met the issue with my project [r-biodb](https://github.com/pierrickrogermele/r-biodb) which is tagged as HTML instead of R. This is because in the 'test' directory are stored some big HTML files.
This issue could also have been solved by excluding the 'res' subdirectory, which is the directory containing resources. However I've thought that, more generally, the language used in the tests is not necessarily the one used in the application.

We could also make the 'test.yml' empty and let repository owners decide to add or not test directories in the .gitattributes file.
"
3281,2,1,0,Externals,jhuang5132,2016-10-13 03:33:30,1,0,1,0,"testing how this works
"
3276,2,6,0,Externals,PaulMcClernan,2016-10-10 22:51:51,0,0,0,0,"https://github.com/livecode/livecode
https://github.com/search?utf8=✓&q=extension%3A+livecode&type=Code&ref=searchresults
https://github.com/search?utf8=✓&q=extension%3A+livecodescript&type=Code&ref=searchresults
"
3275,1,2,0,Externals,PaulMcClernan,2016-10-10 20:21:32,0,0,0,0,"Add LiveCode Script, LCS for short, Examples is a language originally based on HyperCard HyperTalk, similar to AppleScript and SuperCard. There is now also an derivetive language called LiveCode Builder, or LCB for short (will add samples later)
See LiveCode.com for more details.
"
3274,2,5,0,Externals,otgo,2016-10-09 16:48:22,1404,2,46,0,
3269,1,1,0,Externals,primitivorm,2016-10-06 21:45:50,54532,53148,169,0,
3267,1,1,0,Externals,keplersj,2016-10-06 04:20:18,0,0,0,0,"I don't think any of these actually count as JavaScript from what I've seen.
"
3262,1,20,0,Externals,nathany,2016-10-04 19:54:30,28,0,3,0,"resolves #3234

I'm only really interested in collapsing `vendor/` for use with Go, but I've added the other directory names defined in vendor.yml.
"
3250,1,2,0,Externals,imranolas,2016-09-26 14:19:11,1,0,1,0,"https://please.build build definitions are written in a subset of python as are BUILD files
"
3248,1,1,0,Externals,pchaigno,2016-09-25 14:31:39,0,1,1,0,"Since @Alhadis changed the VimL grammar for a new grammar with an MIT license (#3223), the ""whitelisting"" is not necessary anymore.
"
3247,2,14,0,Externals,pchaigno,2016-09-24 19:12:25,19,9,5,0,"Fixes #3211.

Anyone has a better idea on where/how to store the `NEXT_LANGUAGE_ID`? The current way (in `languages.yml`) requires a few modifications to `language.rb` and tests, which I don't really like.

/cc @arfon @TwP
"
3241,1,4,0,Externals,MartinNowak,2016-09-23 15:08:40,1,0,1,0,
3233,7,10,0,Externals,osorgin,2016-09-20 08:04:50,1719,0,11,0,"This pull request is essentially an updated PR [#3109 Add support for MQL4 and MQL5 languages](https://github.com/github/linguist/pull/3109) (closed now as outdated).
It includes the newly added [MQL5-sublime](https://github.com/mqsoft/MQL5-sublime) syntax which supports both MQL5 and MQL4 and has been published under a permissive license (MIT). I have also updated the language definitions according to the new `languages.yml` format. Other than that, this PR is identical to the old one.
"
