pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,closed_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message
10907,1,1,0,Externals,amtj,2017-10-25 09:49:00,0,0,0,0,
10885,3,3,7,Externals,MarshallOfSound,2017-10-23 16:41:41,18,10,2,0,"Still needs to be validated but I think this will fix things 😄 

Fixes #10433"
10881,1,1,0,Externals,codebytere,2017-10-23 14:25:06,15,22,1,0,"Tracking work for https://github.com/electron/electron/issues/5869

Currently blocked pending https://github.com/electron/electron/pull/10888"
10878,4,2,0,Externals,codebytere,2017-10-23 04:28:09,55,76,1,0,"In my plans to implement removal of leading and trailing menu separators per https://github.com/electron/electron/issues/5869, i determined that some things needed to be cleaned up, refactored, and golfed before i could effectively proceed. 

/cc @zeke "
10855,1,1,0,Externals,dittos,2017-10-20 01:29:56,2,2,1,0,"`NativeWindowMac::IsFocused()` returns `[window_ isKeyWindow]` but focus event is fired on `windowDidBecomeMain`.

Fixes #9530.

See also: [Cocoa docs](https://developer.apple.com/library/content/documentation/Cocoa/Conceptual/WinPanel/Concepts/ChangingMainKeyWindow.html#//apple_ref/doc/uid/20000236-128794) on key vs main windows."
10854,1,5,4,Externals,dittos,2017-10-20 01:24:16,85,1,9,0,Add `Notification.closeAll()` (static) and `Notification.close()`.
10785,1,2,0,Externals,aoom,2017-10-13 13:31:00,1,1,1,0,
10742,2,2,3,Externals,codebytere,2017-10-10 16:43:50,16,0,3,0,"Tracking progress for implementation of https://github.com/electron/electron/issues/9926
"
10729,11,0,0,Externals,excfergodst,2017-10-09 17:30:12,16,0,4,0,
10726,1,0,0,Externals,alexeykuzmin,2017-10-09 15:27:22,11,11,5,0,
10706,3,7,0,Externals,qazbnm456,2017-10-06 18:01:37,0,0,0,0,"Try to implement the certificate viewer for viewing detail of certificate through webContents's API and the button in DevTools. Now with this commit, only `macOS` is supported.

Screenshot:
![](https://i.imgur.com/2XnQnM9.png)"
10682,1,1,0,Externals,crweiner,2017-10-03 18:01:14,0,0,0,0,Update pull request
10523,2,1,0,Externals,leo,2017-09-14 20:44:06,6,3,1,0,This is a very important fix: As stated [here](https://electron.atom.io/docs/api/notification/) the current example is not correct.
10491,1,3,0,Externals,ImgBotApp,2017-09-12 04:41:16,0,0,3,0,"Hey there. I've just optimized all of your images. They are the same dimensions and quality as before, only they take up less space now.

\spec\fixtures\assets\3x3.png (83.83%))
\spec\fixtures\assets\2x2.jpg (83.66%))
\spec\fixtures\asar\unpack.asar.unpacked\atom.png (33.08%))"
10404,6,5,3,Externals,alexstrat,2017-08-30 22:18:20,54,0,2,0,"_Following #9494_

### Background
For extension's content scripts injection, Chromium relies on [""isolated world""](https://developer.chrome.com/extensions/content_scripts#execution-environment).

> Content scripts execute in a special environment called an isolated world. They have access to the DOM of the page they are injected into, but not to any JavaScript variables or functions created by the page. It looks to each content script as if there is no other JavaScript executing on the page it is running on. The same is true in reverse: JavaScript running on the page cannot call any functions or access any variables defined by content scripts.

In Electron, the current implementation relies on [`vm.runInThisContext`](https://github.com/electron/electron/blob/master/lib/renderer/content-scripts-injector.js#L16-L23) that does not have the same isolation properties.

### Objective
This PR wants to add the necessary APIs to deal with isolated world and use it in content scripts injection.

### Exploration
_Picked from #9494_
Here are my findings from diving into [`ScriptInjection`](https://cs.chromium.org/chromium/src/extensions/renderer/script_injection.h?type=cs&sq=package:chromium):
- it relies on `blink::WebFrame#executeScriptInIsolatedWorld`
- however there is no way to pass an existing `V8:Context` to `executeScriptInIsolatedWorld` (I think blink is creating contexts internally). Instead, chromium is hooking into `DidCreateScriptContext` in [` Dispatcher`](https://cs.chromium.org/chromium/src/extensions/renderer/dispatcher.cc?type=cs&sq=package:chromium&l=291) that returns a `V8:Context` freshly created.
- from there and by mapping `world_id` passed in `executeScriptInIsolatedWorld` and returned in `DidCreateScriptContext`, it can manipuate the `V8:Context` to add the necessary `chrome.*` APIs to the context (how exactly?)

### Plan
I think what can be done is:
- add `webFrame.executeJavaScriptInIsolatedWorld(worldId, code, ..)` to the `webFrame` API alongside the existing `webFrame.executeJavaScript`
- have an event `'did-create-script-context'` which callback returns `worldId` and `context` (type of context representing `v8::context`?)
- but how to inject chrome apis in the `context`? Looks like [this](https://github.com/electron/electron/blob/c6918966c25144e85956b8614bd5f005ae4e642a/atom/renderer/atom_renderer_client.cc#L172-L204) can lead to ideas.
- [bonus] add `webFrame.setIsolatedWorldContentSecurityPolicy` and `setIsolatedWorldSecurityOrigin` that could be needed at some point"
10376,1,2,0,Externals,beilunyang,2017-08-29 00:20:12,0,0,0,0,
10373,5,1,4,Externals,arnavb,2017-08-28 18:34:48,0,0,0,0,"In the file in this folder `bluetooth_chooser.cc`, I made a few small refactorings for clarity."
10354,35,2,9,Externals,arnavb,2017-08-25 16:26:26,0,0,0,0,"I refactored some of the functions and files so they could be shorter, such as by changing conditionals and using the ternary operator where it would introduce clarity in `return` statements. I also removed unnecessary code as well. Most of these refactorings are short and sweet, so they should have little effect on the behavior of the code."
10350,1,2,0,Externals,sgeisbacher,2017-08-25 09:01:34,22,0,1,0,there is a login-event on autoupdater when it needs auth for proxy. it's emitted here https://github.com/electron-userland/electron-builder/blob/master/packages/electron-updater/src/AppUpdater.ts#L109
10348,1,2,0,Externals,bigosmallm,2017-08-25 01:15:29,6,1,1,0,"The code as documented here does not work anymore.

`navigator.mediaDevices.getUserMedia` API has been updated to return a Promise object.
[https://developer.mozilla.org/en-US/docs/Web/API/MediaDevices/getUserMedia](https://developer.mozilla.org/en-US/docs/Web/API/MediaDevices/getUserMedia)

"
10331,1,2,0,Externals,akkyjumbade,2017-08-22 20:16:34,0,0,0,0,
10325,1,2,0,Externals,develar,2017-08-22 14:31:50,4,0,1,0,Add note about electron-updater (features listed in the mentioned docs).
10267,83,0,0,Externals,alexeykuzmin,2017-08-14 20:56:01,935,857,104,0,
10265,1,1,0,Externals,alexeykuzmin,2017-08-14 18:23:26,1,0,1,0,"Check [Travis builds](https://travis-ci.org/electron/electron/builds/263625304) in #10250, exactly this happens on a user's machine when they run `./script/bootstrap.py`.

```
$ ./script/bootstrap.py

> electron@1.7.6 install /Volumes/Transcend/Projects/electron
> node-gyp rebuild

gyp: binding.gyp not found (cwd: /Volumes/Transcend/Projects/electron) while trying to load binding.gyp
gyp ERR! configure error
gyp ERR! stack Error: `gyp` failed with exit code: 1
gyp ERR! stack     at ChildProcess.onCpExit (/usr/local/lib/node_modules/npm/node_modules/node-gyp/lib/configure.js:336:16)
gyp ERR! stack     at emitTwo (events.js:106:13)
gyp ERR! stack     at ChildProcess.emit (events.js:191:7)
gyp ERR! stack     at Process.ChildProcess._handle.onexit (internal/child_process.js:215:12)
gyp ERR! System Darwin 16.7.0
gyp ERR! command ""/usr/local/Cellar/node@6/6.11.0/bin/node"" ""/usr/local/lib/node_modules/npm/node_modules/node-gyp/bin/node-gyp.js"" ""rebuild""
gyp ERR! cwd /Volumes/Transcend/Projects/electron
gyp ERR! node -v v6.11.0
gyp ERR! node-gyp -v v3.6.2
gyp ERR! not ok
npm ERR! code ELIFECYCLE
npm ERR! errno 1
npm ERR! electron@1.7.6 install: `node-gyp rebuild`
npm ERR! Exit status 1
npm ERR!
npm ERR! Failed at the electron@1.7.6 install script.
npm ERR! This is probably not a problem with npm. There is likely additional logging output above.

npm ERR! A complete log of this run can be found in:
npm ERR!     /Users/alkuzmin/.npm/_logs/2017-08-14T18_23_04_816Z-debug.log

Traceback (most recent call last):
  File ""./script/bootstrap.py"", line 250, in <module>
    sys.exit(main())
  File ""./script/bootstrap.py"", line 54, in main
    update_node_modules('.')
  File ""/Volumes/Transcend/Projects/electron/script/lib/util.py"", line 289, in update_node_modules
    execute_stdout(args, env)
  File ""/Volumes/Transcend/Projects/electron/script/lib/util.py"", line 186, in execute_stdout
    execute(argv, env)
  File ""/Volumes/Transcend/Projects/electron/script/lib/util.py"", line 174, in execute
    raise e
subprocess.CalledProcessError: Command '['npm', 'install']' returned non-zero exit status 1
```"
10247,113,6,4,Externals,liusy182,2017-08-11 14:51:45,29,2,4,0,"fixes #10240 

Return empty string when theme color turns out to have alpha value of 0 (transparent)."
10221,9,4,1,Externals,MarshallOfSound,2017-08-08 15:32:36,30,5,4,0,"This should fix the tests that were failing as a result of this merge before, basically putting this up so that LCC builds overnight and I can test this tomorrow with proper LCC builds"
10217,2,0,0,Internals,zcbenz,2017-08-08 06:20:42,1032,183,6,0,Continue of https://github.com/electron/electron/pull/10205 due to my mistake.
10210,1,1,0,Externals,smildlzj,2017-08-07 14:27:24,0,0,0,0,"support location api property: host/href/protocol/search/path/hash
```
var win = window.open('http://www.github.com');
//...
console.log(win.location.host);
//...
win.location.href = 'https://www.google.com'
```
"
10207,1,1,0,Externals,alespergl,2017-08-07 13:43:44,1,1,1,0,The latest libcc should make the Linux CI tests green again.
10205,0,7,0,Externals,HAMIDx9,2017-08-07 11:34:47,0,0,0,0,"This PR has patches to build arm64 electron package successfully. 
I've also provided unofficial packages for download until official releases prepared for the community.
This build has been tested successfully on Odroid C2 (arm64). Unfortunately support for electron-packager is not provided here.
You may just copy your resources to the `electron-v1.7.5-linux-arm64.zip` and run `electron` there.

libcromiumcontent build instructions:

```bash
$ git clone https://chromium.googlesource.com/chromium/src.git
$ cd libcromiumcontent
$ ./script/bootstrap
$ ./script/update -t arm64
$ ./script/build -t arm64
$ ./script/create-dist -t arm64
$ mkdir -p linux/arm64/7a9d4a1c9c265468dd54005f6c1920b2cc2c8ec3 # HACK for using later for electron build process
$ mv libchromiumcontent* linux/arm64/7a9d4a1c9c265468dd54005f6c1920b2cc2c8ec3
```



electron + arm64 support build instruction:
```bash
$ git clone https://github.com/HAMIDx9/electron.git
$ cd electron
$ ./script/bootstrap.py -v --target_arch=arm64 -u file:///home/hamidx9/dev/electron/libchromiumcontent/
$ ./script/build.py -c R
$ ./script/create-dist.py
$ ls ./dist/electron-v1.7.5-linux-arm64.zip
```


**Unofficial Builds**:
[electron-v1.7.5-linux-arm64-symbols.zip](https://www.hamidx9.ir/dl/electron_arm64/electron-v1.7.5-linux-arm64-symbols.zip)
[electron-v1.7.5-linux-arm64.zip](https://www.hamidx9.ir/dl/electron_arm64/electron-v1.7.5-linux-arm64.zip)
[ffmpeg-v1.7.5-linux-arm64.zip](https://www.hamidx9.ir/dl/electron_arm64/ffmpeg-v1.7.5-linux-arm64.zip)
[libchromiumcontent/libchromiumcontent-static.zip](https://www.hamidx9.ir/dl/electron_arm64/libchromiumcontent/libchromiumcontent-static.zip)
[libchromiumcontent/libchromiumcontent.zip](https://www.hamidx9.ir/dl/electron_arm64/libchromiumcontent/libchromiumcontent.zip)

**sha256sum**:
```bash
2d3fe036b4fa1efdb99b8fa15e03f11b9829428529640fa9db4794c8cd2babf7  electron-v1.7.5-linux-arm64-symbols.zip
2df42153e59d40ca03bc281cc515db3331d4facd9d2cdc7fe66aa660b76d43a2  electron-v1.7.5-linux-arm64.zip
4528e28412e5d1074b35e6bcb6198e07f0e4b6ef3434565b4d294124f9e01dbd  ffmpeg-v1.7.5-linux-arm64.zip
b4e8d028d34ce5a9010d4900140466e1f55c835ad7e64c0c7403d82ea41c44bf  libchromiumcontent/libchromiumcontent-static.zip
afa2486256ce561fd3a815e08a0dfee4841a7cbe467f3e518a4712aae48e25fe  libchromiumcontent/libchromiumcontent.zip
```
"
10203,1,3,0,Internals,zcbenz,2017-08-07 09:57:34,1,1,1,0,Include the change of https://github.com/electron/libchromiumcontent/pull/333.
10198,1,1,0,Internals,zeke,2017-08-04 23:09:17,22,0,1,0,just another step to make sure a draft release is legit
10194,8,5,0,Externals,alexeykuzmin,2017-08-04 11:25:35,12,13,9,0,**TODO**: Change target branch to *master*.
10187,1,12,0,Externals,saschagehlich,2017-08-03 09:34:03,46,23,3,0,"This PR adds a new `hideDisabledButtons` option to BrowserWindow's `titleBarStyle` option.

![screenshot 2017-08-01 16 35 35](https://user-images.githubusercontent.com/119684/28915391-4b1a9654-783f-11e7-8373-e5e93a0629bc.png)

Some implementation details: Since `NativeWindowMac`'s `IsMaximizable` method checks if the maximize button is enabled (which is always the case inside `InstallView()`), I had to add three new flags to the class: `minimizable_`, `maximizable_` and `closable_` which are set to the option the user has passed to the BrowserWindow."
10137,3,4,3,Externals,miniak,2017-07-27 12:45:04,962,961,13,0,"It's more correct to use the term element, as tag only refers to `<webview>` in HTML code. The DOM contains elements, also the API is `document.createElement` not `document.createTag`"
10136,1,1,0,Externals,robinwassen,2017-07-27 12:03:15,0,0,0,0,"Changed from [NSWindow toggleFullScreen:] to [NSView enterFullScreenMode:withOptions:] when enabling kiosk mode since it resolves a lot of kiosk mode related issues such as menu bar, dock and applications on other displays being visible.

Example issues that are solved are: #8426 and #1054

**Special note:** Worth mentioning is that this kiosk mode is so aggressive that it will not even allow dialogs to show - showing dialogs will practically cause the computer to hang, because you will not be able to interact with the application when the dialog is alive, and you cannot interact with the dialog since the application is running in strict full screen.

So this is a decision if it is worth a tighter kiosk mode with the con that dialogs does not work as intended.

Examples on a multi-screen setup:

**Before changes:**
![before_kiosk_changes](https://user-images.githubusercontent.com/302151/28669329-2c731a7a-72d4-11e7-83f8-66768332db86.png)

**After changes:**
![after_kiosk_changes](https://user-images.githubusercontent.com/302151/28669333-30582b4e-72d4-11e7-9c40-1daa78110e35.png)



"
10114,2,0,0,Internals,jkleinsc,2017-07-25 17:48:46,2,0,1,0,Attempt to fix ImportError: No module named google_compute_engine that is happening in Travis
10111,84,8,0,Externals,alexeykuzmin,2017-07-25 16:19:17,935,857,104,0,Rel to #9946.
10092,1,4,0,Externals,3n-mb,2017-07-23 01:29:42,8,8,1,0,"Adding missing `(optional)` to make structural part be the same as textual. In line with comment in #10091, i.e. that definition generating utility will properly generate overloading definitions, when first parameter is optional."
10091,1,1,0,Externals,3n-mb,2017-07-23 00:08:35,25,2,1,0,"Docs are used for generation of `d.ts`. Typescript likes optional parameters on the tail, and a signature with optional first parameter should be changed to overloading (?) multiple definitions. In this case, there should be two of them.

It may look uglier, cause we are repeating docs. May be we need some convention for cases like these? Or, may be, d.ts generation utility should work around first parameters, marked as optional. In later case, fix is trivial addition of `(optional)` for the first argument. Does utility handle first optional parameter, turning it into several definitions? I assumed not, but I may be wrong :) .

By the way `webRequest.onHeadersReceived([filter, ]listener)` and others need change like this."
10090,1,2,7,Externals,3n-mb,2017-07-22 23:05:41,3,3,1,0,"#### Issue 1:
Lines 2929-2945, definition of `registerFileProtocol(...)`.
Doc lines say (as well as docs on site),
```
     *  .... To handle
     * the request, the callback should be called with either the file's path or an
     * object that has a path property, e.g. callback(filePath) or callback({path:
     * filePath}). When callback is called with nothing, a number, or an object that
     * has an error property, the request will fail with the error number you
     * specified. 
```
but definition itself is
```
    registerFileProtocol(scheme: string, handler: (request: RegisterFileProtocolRequest, callback: (filePath?: string) => void) => void, completion?: (error: Error) => void): void;
```
`callback`'s function definition has arguments `filePath?: string`, but it should also take in values that will make request fail, i.e. `filePath?: string | number | ...`

#### Issue 2:
Lines 2922-2928, definition for `registerBufferProtocol(...)`.
Doc lines say (as well as docs on site),
```
     *  ....  The usage
     * is the same with registerFileProtocol, except that the callback should be called
     * with either a Buffer object or an object that has the data, mimeType, and
     * charset properties. Example:
     */
```
but definition itself is
```
    registerBufferProtocol(scheme: string, handler: (request: RegisterBufferProtocolRequest, callback: (buffer?: Buffer | MimeTypedBuffer) => void) => void, completion?: (error: Error) => void): void;
```
misses types for `buffer` argument in `callback`, that will make request to fail. It should be at least `buffer?: Buffer | MimeTypedBuffer | number`, which I know runs properly.

By the way, it seems that an *Example:* part of the doc line is chopped off.

#### Issue 3:
Lines 2917-2921, definition for `isProtocolHandled(...)`.
Doc lines say,
```
    /**
     * The callback will be called with a boolean that indicates whether there is
     * already a handler for scheme.
     */
```
but definition itself is
```
isProtocolHandled(scheme: string, callback: (error: Error) => void): void;
```
where callback argument should be `callback: (isHandled: boolean) => void`."
10089,33,0,0,Externals,AndreasM-Avd26,2017-07-22 12:57:38,205,47,27,0,
10029,1,6,0,Externals,gerhardberger,2017-07-16 22:17:16,28,3,5,0,"This PR adds a `setDisplayNotifications` method to the `app` object.

This allows to add a quick option for Electron apps to disable and enable displaying notifications, sort of like a more fine grained Do not disturb mode."
9968,1,2,0,Externals,Hum4n01d,2017-07-10 16:27:51,1,1,1,0,"If somebody wants to make an actual description, they can. :) Thanks for the awesome project!"
9905,3,4,0,Externals,awvalenti,2017-06-30 21:21:22,7,0,1,0,"Many users should benefit from knowing upfront how to generate a distributable package and how large will it be. For those reasons, I'm opening this pull request to include that info on README.md."
